ist	ziel	art	fundort	welle	bemerkung
karten	maps	dom-id	datenschutz.html	6	VORSCHLAG: Anker von Abschnitt 6 Karten, Gelaende und Schriften; alte Deep-Links pruefen; Foto-Karte/Karten-Info
kd-abbrechen	account-dialog-cancel	dom-id	admin.html	6	VORSCHLAG: kd = Konto-Dialog der Verwaltung; account-dialog- ausgeschrieben, account-email allein ist auf der Kontoseite vergeben; Konto-Dialog der Verwaltung
kd-email	account-dialog-email	dom-id	admin.html	6	VORSCHLAG: s. kd-abbrechen; Konto-Dialog der Verwaltung
kd-fehler	account-dialog-error	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: s. kd-abbrechen; Konto-Dialog der Verwaltung
kd-name	account-dialog-name	dom-id	admin.html	6	VORSCHLAG: s. kd-abbrechen; Konto-Dialog der Verwaltung
kd-passwort	account-dialog-password	dom-id	admin.html	6	VORSCHLAG: s. kd-abbrechen; Konto-Dialog der Verwaltung
kd-pw-zusatz	account-dialog-pw-extra	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: Zusatz = extra, s. Klasse zusatz; Konto-Dialog der Verwaltung
kd-rolle	account-dialog-role	dom-id	admin.html	6	rolle = role (Paragraf 6.2); Konto-Dialog der Verwaltung
kd-rolle-hinweis	account-dialog-role-hint	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Konto-Dialog der Verwaltung
kd-speichern	account-dialog-save	dom-id	admin.html	6	VORSCHLAG: ; Konto-Dialog der Verwaltung
kd-titel	account-dialog-title	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Konto-Dialog der Verwaltung
kd-unterzeile	account-dialog-subline	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Konto-Dialog der Verwaltung
kd-verifiziert	account-dialog-verified	dom-id	admin.html	6	VORSCHLAG: ; Konto-Dialog der Verwaltung
km-balken-fuell	am-bar-fill	dom-id	src/app-nav.ts,src/studio/studio.ts,studio.html	6	VORSCHLAG: km = Konto-Menue; Teil A setzt am- (account menu): km-balken zu am-bar; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue in der Kopfleiste
km-konto	am-account	dom-id	src/app-nav.ts,studio.html	6	VORSCHLAG: Familie am- wie Teil A; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue in der Kopfleiste
km-mail	am-mail	dom-id	src/app-nav.ts,src/studio/studio.ts,studio.html	6	VORSCHLAG: wie Teil A km-mail; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue in der Kopfleiste
km-profil	am-profile	dom-id	src/app-nav.ts,studio.html	6	VORSCHLAG: Familie am-; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue in der Kopfleiste
km-quota-text	am-quota-text	dom-id	src/app-nav.ts,src/studio/studio.ts,studio.html	6	VORSCHLAG: wie Teil A km-quota; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue in der Kopfleiste
km-verwaltung	am-admin	dom-id	src/app-nav.ts,src/studio/studio.ts,studio.html	6	VORSCHLAG: Verwaltung = admin (Seite admin.html); Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue in der Kopfleiste
konten-filter	accounts-filter	dom-id	admin.html,src/admin/admin.ts	6	Konto = account (Paragraf 6.2); ACHTUNG: die API-Route heisst /api/admin/users (Paragraf 6.7), Zusammenfuehrung entscheidet, ob UI accounts oder users sagt; Verwaltung
konten-liste	accounts-list	dom-id	admin.html,src/admin/admin.ts	6	s. konten-filter; Verwaltung
konten-suche	accounts-search	dom-id	admin.html	6	s. konten-filter; Verwaltung
konto-dialog	account-dialog	dom-id	admin.html	6	Paragraf 6.2; Konto-Menue/Kontoseite
konto-form	account-form	dom-id	admin.html	6	Paragraf 6.2; Konto-Menue/Kontoseite
konto-menue	account-menu	dom-id	src/app-nav.ts,src/studio/studio.ts,studio.html	6	wie Teil A konto-menue zu account-menu; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Konto-Menue/Kontoseite
konto-neu	account-new	dom-id	admin.html	6	Paragraf 6.2; Konto-Menue/Kontoseite
mail-liste	mail-list	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Mail-Vorlagen der Verwaltung
mail-zusammenfassung	mail-summary	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Mail-Vorlagen der Verwaltung
markeRoute	brand-route	dom-id	public/404.html,studio.html	6	VORSCHLAG: SVG-Verlauf der Wortmarken-Route; Marke = brand wie Teil A marken-gruppe; Fundorte in Produktseiten und Studio, spaeteste Welle 6; 404 liegt ausserhalb des Builds, von Hand nachziehen; SVG-Verlaufs-Id der Wortmarken-Route (Studio, 404)
md-abbrechen	md-cancel	dom-id	admin.html	6	VORSCHLAG: md = Mail-Dialog, Kuerzel bleibt (beide Woerter englisch); Mail-Dialog der Verwaltung
md-anlass	md-occasion	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: Unterzeile: zu welchem Anlass die Mail rausgeht; Mail-Dialog der Verwaltung
md-betreff	md-subject	dom-id	admin.html	6	betreff zu subject (Paragraf 6.8); Mail-Dialog der Verwaltung
md-fehler	md-error	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.1; Mail-Dialog der Verwaltung
md-fuss	md-footer	dom-id	admin.html	6	fuss zu footer (Paragraf 6.8); Mail-Dialog der Verwaltung
md-knopf	md-button	dom-id	admin.html	6	knopf zu button (Paragraf 6.8); Mail-Dialog der Verwaltung
md-mtitel	md-mail-title	dom-id	admin.html	6	VORSCHLAG: Ueberschrift IN der Mail, getrennt vom Dialog-Titel md-title; Mail-Dialog der Verwaltung
md-platzhalter	md-placeholders	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Mail-Dialog der Verwaltung
md-probleme	md-issues	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: wie Teil A mail-probleme zu mail-issues; Mail-Dialog der Verwaltung
md-speichern	md-save	dom-id	admin.html	6	VORSCHLAG: ; Mail-Dialog der Verwaltung
md-stand	md-status	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: wie Teil A mail-stand zu mail-status; Mail-Dialog der Verwaltung
md-test	md-test	dom-id	admin.html	6	bleibt (schon englisch); Mail-Dialog der Verwaltung
md-text	md-body	dom-id	admin.html	6	mail_templates text wird body (Paragraf 6.8); Mail-Dialog der Verwaltung
md-titel	md-title	dom-id	admin.html,src/admin/admin.ts	6	titel zu title (Paragraf 6.8); Mail-Dialog der Verwaltung
md-vbetreff	md-preview-subject	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: v = Vorschau; Mail-Dialog der Verwaltung
md-vorschau	md-preview	dom-id	admin.html	6	Paragraf 6.7; Mail-Dialog der Verwaltung
md-zuruecksetzen	md-reset	dom-id	admin.html	6	VORSCHLAG: ; Mail-Dialog der Verwaltung
mehr	more	dom-id	galerie.html,src/galerie/galerie.ts	6	VORSCHLAG: ; Galerie
meldung	message	dom-id	konto.html,profil.html,src/konto/konto.ts,src/profil/profil.ts	6	VORSCHLAG: Flash-Meldung; wie Teil A meldung zu message; Kontoseite/Profilseite
nav-abmelden	nav-logout	dom-id	src/app-nav.ts	6	VORSCHLAG: ; geteilte Bausteine
nav-konto-menue	nav-account-menu	dom-id	src/app-nav.ts	6	Paragraf 6.2; geteilte Bausteine
nav-profil	nav-profile	dom-id	src/app-nav.ts	6	Profil = profile (Paragraf 6.2); geteilte Bausteine
nav-rechts	nav-right	dom-id	admin.html,src/app-nav.ts	6	VORSCHLAG: rechts = right wie Teil A; Verwaltung/geteilte Bausteine; wächter: app-nav.test.ts
neu-oben	new-top	dom-id	src/app-nav.ts,studio.html	6	VORSCHLAG: oben = top wie Teil A; Fundorte in Produktseiten und Studio, spaeteste Welle 6; Upload-/Neu-Dialog im Studio; wächter: app-nav.test.ts
p-beiwerk	profile-extras	dom-id	profil.html,src/profil/profil.ts	6	VORSCHLAG: Beiwerk = extras wie Teil A; p- ausgeschrieben zu profile- wie Teil A profilkopf zu profile-header; Profilseiten-Kopf
p-kennzahlen	profile-stats	dom-id	profil.html,src/profil/profil.ts	6	VORSCHLAG: Kennzahlen = stats wie Teil A; Profilseiten-Kopf
p-links	profile-links	dom-id	profil.html,src/profil/profil.ts	6	VORSCHLAG: Link-Chips; links bleibt links; Profilseiten-Kopf
panel-einladungen	panel-invitations	dom-id	admin.html	6	Paragraf 6.7; Reiter-Panels der Verwaltung
panel-konten	panel-accounts	dom-id	admin.html	6	s. konten-filter; Reiter-Panels der Verwaltung
panel-protokoll	panel-audit-log	dom-id	admin.html	6	Protokoll = auditLog (Paragraf 6.4); Reiter-Panels der Verwaltung
panel-rueckmeldungen	panel-feedback	dom-id	admin.html	6	Paragraf 6.7 rueckmeldungen zu feedback; Reiter-Panels der Verwaltung
panel-statistiken	panel-stats	dom-id	admin.html	6	Paragraf 6.7 statistiken zu stats; Reiter-Panels der Verwaltung
panel-warteliste	panel-waitlist	dom-id	admin.html	6	Paragraf 6.7; Reiter-Panels der Verwaltung
pflicht-schalter	invitation-required-switch	dom-id	admin.html	6	settings-Schluessel einladung_pflicht geht nach Paragraf 6.8 mit; Schalter = switch wie Teil A; Verwaltung
pflicht-text	invitation-required-text	dom-id	admin.html,src/admin/admin.ts	6	s. pflicht-schalter; Verwaltung
pflicht-titel	invitation-required-title	dom-id	admin.html	6	s. pflicht-schalter; Verwaltung
privat-chip	private-chip	dom-id	profil.html,src/profil/profil.ts	6	VORSCHLAG: ; Profilseite
protokoll-filter	audit-log-filter	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.4 und 6.7 protokoll zu audit-log; Verwaltung
protokoll-liste	audit-log-list	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.4; Verwaltung
protokoll-suche	audit-log-search	dom-id	admin.html	6	Paragraf 6.4; Verwaltung
protokoll-zusammenfassung	audit-log-summary	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.4; Verwaltung
rechte	rights	dom-id	datenschutz.html	6	VORSCHLAG: Rechtstext-Anker; Rechtstexte
reiter	tabs	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: Reiter-Leiste; Teil A setzt reiter zu tab, der Container ist der Plural; Verwaltung
rueckmeldungen-filter	feedback-filter	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.7 rueckmeldungen zu feedback; Verwaltung
rueckmeldungen-liste	feedback-list	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.7; Verwaltung
rueckmeldungen-suche	feedback-search	dom-id	admin.html	6	Paragraf 6.7; Verwaltung
s-news-ruht	switch-news-idle	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: s- = Schalter der Kontoseite, wird switch- (Teil A: schalter zu switch); ruht = idle wie Teil A; Kontoseite
s-profil	switch-profile	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: Familie switch-; Kontoseite
s-profil-erklaerung	switch-profile-hint	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: Erklaerung = hint wie Teil A hinweis; Kontoseite
s-suche	switch-search-indexing	dom-id	konto.html,src/konto/konto.ts	6	Suchmaschinen-Schalter = searchIndexing (Paragraf 6.2); Kontoseite
s-suche-erklaerung	switch-search-indexing-hint	dom-id	konto.html,src/konto/konto.ts	6	Paragraf 6.2; Kontoseite
sbFerne3	scene-far-3	dom-id	index.html	6	VORSCHLAG: sb = Szenenbild; Teil A setzt sb- zu scene-; kebab-case nach Namensform-Regel; Szenenbild (Landing-Hero bzw. Login-Szene)
sbHimmel3	scene-sky-3	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sbRahmen3	scene-frame-3	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sbRoute1	scene-route-1	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sbRoute2	scene-route-2	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sbRoute3	scene-route-3	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sbSonne2	scene-sun-2	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sbSonne3	scene-sun-3	dom-id	index.html	6	VORSCHLAG: s. sbFerne3; Szenenbild (Landing-Hero bzw. Login-Szene)
sichtbarkeit	visibility	dom-id	datenschutz.html	6	Paragraf 6.1; Rechtstext-Anker; Rechtstexte
so-funktionierts	how-it-works	dom-id	index.html	6	VORSCHLAG: Landing-Anker; Landing; wächter: app-nav.test.ts
sp-balken	storage-bar	dom-id	konto.html,src/konto/konto.ts	6	Speicher = storage (Paragraf 6.2); sp- hier = Speicherbalken, NICHT das Profil-Modal aus Teil A (dort sp- zu modal-); Speicherbalken (Konto) bzw. Profil-bearbeiten-Dialog
sp-belegt	storage-used	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: belegt = used; Speicherbalken (Konto) bzw. Profil-bearbeiten-Dialog
sp-legende	storage-legend	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: Legende = legend wie Teil A; Speicherbalken (Konto) bzw. Profil-bearbeiten-Dialog
sp-prozent	storage-percent	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: ; Speicherbalken (Konto) bzw. Profil-bearbeiten-Dialog
sp-von	storage-of	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: x von y = of; Speicherbalken (Konto) bzw. Profil-bearbeiten-Dialog
sp-warnung	storage-warning	dom-id	konto.html,src/konto/konto.ts	6	VORSCHLAG: wie Teil A speicher-warnung; Speicherbalken (Konto) bzw. Profil-bearbeiten-Dialog
sperre-text	locked-text	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: Sperr-Ansicht der Verwaltung; Teil A: sperre zu locked; Verwaltung
sperre-titel	locked-title	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Verwaltung
sperre-view	locked-view	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Verwaltung
sperre-weg	locked-exit	dom-id	admin.html	6	VORSCHLAG: Link hinaus (Zu meinen Touren); Verwaltung
stat-7d-aufrufe	stat-7d-views	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: Aufrufe = views; Statistiken der Verwaltung
stat-7d-besucher	stat-7d-visitors	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Statistiken der Verwaltung
stat-echtzeit	stat-realtime	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: wie Teil A echtzeit; Statistiken der Verwaltung
stat-gesamt	stat-total	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Statistiken der Verwaltung
stat-heute-aufrufe	stat-today-views	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Statistiken der Verwaltung
stat-heute-besucher	stat-today-visitors	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Statistiken der Verwaltung
stat-referrer-liste	stat-referrer-list	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Statistiken der Verwaltung
stat-seiten-liste	stat-pages-list	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: ; Statistiken der Verwaltung
teilen-text	share-text	dom-id	profil.html,src/profil/profil.ts	6	VORSCHLAG: ; Profilseite
touren	tours	dom-id	index.html,profil.html,src/profil/profil.ts	6	Paragraf 6.1; Landing/Profilseite; wächter: app-nav.test.ts+profilmodell.test.ts
verantwortlich	controller	dom-id	datenschutz.html	6	VORSCHLAG: DSGVO-Verantwortlicher = controller; Rechtstext-Anker; Rechtstexte
verlauf	gradient	dom-id	public/404.html	6	VORSCHLAG: SVG-linearGradient der 404-Szene; die gleichnamige Konto-Klasse wird history; 404 liegt ausserhalb des Builds, von Hand nachziehen; 404-Seite
warteliste-filter	waitlist-filter	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.7; Verwaltung
warteliste-liste	waitlist-list	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.7; Verwaltung
warteliste-suche	waitlist-search	dom-id	admin.html	6	Paragraf 6.7; Verwaltung
weg	path	dom-id	public/404.html	6	VORSCHLAG: SVG-Pfad-Definition der 404-Szene; die gleichnamige Editor-Klasse wird remove; 404 liegt ausserhalb des Builds, von Hand nachziehen; 404-Seite
wl-schalter	waitlist-switch	dom-id	admin.html	6	Paragraf 6.7; Schalter = switch wie Teil A; Warteliste
wl-schalter-text	waitlist-switch-text	dom-id	admin.html,src/admin/admin.ts	6	Paragraf 6.7; Warteliste
wl-zur-pflicht	waitlist-to-invitation-required	dom-id	admin.html	6	VORSCHLAG: Sprung-Link zum Einladungspflicht-Schalter, s. pflicht-schalter; Warteliste
zu-warnung	registration-closed-warning	dom-id	admin.html,src/admin/admin.ts	6	VORSCHLAG: Warnzeile: Registrierung ist per Env ganz zu, niemand kommt herein; Verwaltung
zwecke	purposes	dom-id	datenschutz.html	6	VORSCHLAG: Rechtstext-Anker; Rechtstexte
aendere	updateUser	export-funktion	src/admin/api.ts	6	Konto aendern
aendereRueckmeldung	updateFeedback	export-funktion	src/admin/api.ts	6	Status/Notiz setzen
aktiverAbschnitt	activeSection	export-funktion	src/rechtstextgliederung.ts	6	Abschnitt→section; aktiven Abschnitt beim Scrollen bestimmen
alsKarte	toTourCard	export-funktion	src/galerie/galeriemodell.ts	6	VORSCHLAG: als→to; Tour in eine Anzeige-Karte uebersetzen
alsKarten	toTourCards	export-funktion	src/galerie/galeriemodell.ts	6	VORSCHLAG: Sammlung im Plural (§6.0)
anbieterKnopf	providerButtonLabel	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: liefert die Beschriftung (Verbinden/Neu verbinden)
anbieterSatz	providerSentence	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: Satz→sentence; Satz zum Verbindungszustand
anfangsbuchstabe	avatarInitial	export-funktion	src/profil/profilmodell.ts	6	VORSCHLAG: initial; Buchstabe fuer den Avatar-Platzhalter
belegtProzent	usedPercent	export-funktion	src/konto/kontomodell.ts	6	VORSCHLAG: belegt→used
benutzer	loadUsers	export-funktion	src/admin/api.ts	6	hole→load (ein Verb je Bedeutung §6.0)
beschreibeAbsender	describeSender	export-funktion	src/admin/adminmodell.ts	6	Absenderzeile einer Rueckmeldung
beschreibeEinladung	describeInvitation	export-funktion	src/admin/adminmodell.ts	6	Satz zu einer Einladung
beschreibeProtokoll	describeAuditLogEntry	export-funktion	src/admin/adminmodell.ts	6	Klartext zu einem Protokoll-Eintrag
beschreibeVorlage	describeTemplate	export-funktion	src/admin/adminmodell.ts	6	Beschreibungssatz einer Mail-Vorlage
beschreibeWartenden	describeWaitlistEntry	export-funktion	src/admin/adminmodell.ts	6	VORSCHLAG: Wartender→waitlist entry; Satz zu einem Wartenden
bewertePasswort	scorePassword	export-funktion	src/passwortstaerke.ts	6	VORSCHLAG: bewerten→score (NIST-Bewertung, kein validate); Passwort nach NIST-Linie bewerten
browserAus	parseBrowser	export-funktion	src/konto/kontomodell.ts	6	VORSCHLAG: deuten→parse; Browser aus dem User-Agent
dabeiSeit	memberSince	export-funktion	src/profil/profilmodell.ts	6	VORSCHLAG: memberSince; Dabei-seit-Angabe formatieren
datumMitZeit	formatDateTime	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: verb-first; Datum mit Uhrzeit
dialogFeld	dialogField	export-funktion	src/dialogschicht.ts	6	Beschriftetes Eingabefeld bauen
einladenGesperrt	inviteDisabled	export-funktion	src/admin/adminmodell.ts	6	VORSCHLAG: gesperrt→disabled; ob Einladen gerade gesperrt ist
einladungen	loadInvitations	export-funktion	src/admin/api.ts	6	hole→load
einladungsLink	invitationLink	export-funktion	src/admin/adminmodell.ts	6	Registrierungslink zu einem Code bauen
entfernung	formatDistanceKm	export-funktion	src/galerie/galeriemodell.ts	6	VORSCHLAG: verb-first, Einheit im Namen (§6.0); Kilometer-Angabe formatieren
exportZeile	dataExportLine	export-funktion	src/konto/kontomodell.ts	6	VORSCHLAG: Statuszeile des ZIP-Exports
feedbackKnopfHtml	feedbackButtonHtml	export-funktion	src/feedbackknopf.ts	6	§6.6 feedback-button.ts
filtereBenutzer	filterUsers	export-funktion	src/admin/adminmodell.ts	6	Kontenliste nach Filter und Suchtext
filtereEinladungen	filterInvitations	export-funktion	src/admin/adminmodell.ts	6	Einladungsliste filtern
filtereProtokoll	filterAuditLog	export-funktion	src/admin/adminmodell.ts	6	Protokoll nach Stufe/Suchtext filtern
filtereRueckmeldungen	filterFeedback	export-funktion	src/admin/adminmodell.ts	6	Rueckmeldungen filtern
filtereWarteliste	filterWaitlist	export-funktion	src/admin/adminmodell.ts	6	Warteliste filtern
formatiereBytes	formatBytes	export-funktion	src/admin/adminmodell.ts	6	Bytes menschenlesbar formatieren
formatiereDatum	formatDate	export-funktion	src/admin/adminmodell.ts	6	Datum formatieren
formatiereEinladungscode	formatInvitationCode	export-funktion	src/einladungscode.ts	6	§6.2 invitation
formatiereZeitpunkt	formatTimestamp	export-funktion	src/admin/adminmodell.ts	6	Zeitstempel formatieren
fuelleTopNav	fillTopNav	export-funktion	src/app-nav.ts	6	Navigation in einen Container schreiben
geraeteName	deviceName	export-funktion	src/konto/kontomodell.ts	6	§6.2 device; Element im Singular (§6.0)
geraeteSymbol	deviceIcon	export-funktion	src/konto/kontomodell.ts	6	Symbol→icon wie ICON_TOURS
geraeteUnterzeile	deviceSubline	export-funktion	src/konto/kontomodell.ts	6	VORSCHLAG: Unterzeile→subline (IP-Fragment, Zeit)
groesse	formatBytes	export-funktion	src/konto/kontomodell.ts	6	VORSCHLAG: verb-first und gleiche Form wie in admin-model.ts
haengePasswortfeld	attachPasswordField	export-funktion	src/passwortfeld.ts	6	VORSCHLAG: haengen an ein vorhandenes Input→attach (nicht mount, das baut selbst)
handleAusPfad	handleFromPath	export-funktion	src/routen.ts	6	aus→from; Handle aus einem /@-Pfad
idAusAdresse	idFromUrl	export-funktion	src/galerie/galeriemodell.ts	6	VORSCHLAG: Adresse→url (etablierte Abkuerzung §6.0)
importSatz	importSentence	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: Satz zu einem Import-Eintrag
importTitel	importTitle	export-funktion	src/konto/trackermodell.ts	6	Titel eines Chronik-Eintrags
importTon	importTone	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: Farbton (bernstein/rot); nicht audio-Ton
initiale	initial	export-funktion	src/admin/adminmodell.ts	6	VORSCHLAG: Anfangsbuchstabe fuer den Avatar
istEigenes	isOwn	export-funktion	src/profil/profilmodell.ts	6	Boolean is… (§6.0 Regel 2); ob das Profil dem Betrachter gehoert
istHandgeraet	isMobile	export-funktion	src/konto/kontomodell.ts	6	VORSCHLAG: Boolean is-Praefix; ob der User-Agent ein Mobilgeraet ist
istLokal	isLocal	export-funktion	src/admin/adminmodell.ts	6	Boolean is-Praefix §6.0
kennzahlChips	statChips	export-funktion	src/profil/profilmodell.ts	6	VORSCHLAG: wie Kennzahl→stat; Kennzahlen in Chips uebersetzen
kontextZeile	contextLine	export-funktion	src/admin/adminmodell.ts	6	Technischer Kontext als Zeile
kontextZeilen	contextLines	export-funktion	src/feedbackmodell.ts	6	Kontext als Anzeige-Zeilen
kurzesDatum	formatShortDate	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: verb-first wie formatDate
ladeEin	createInvitation	export-funktion	src/admin/api.ts	6	neue Einladung erzeugen; nicht invite (das ist der Wartelisten-Vorgang)
ladeTracker	loadTracker	export-funktion	src/konto/trackerkarte.ts	6	lade→load
ladeWartendenEin	inviteWaitlistEntry	export-funktion	src/admin/api.ts	6	VORSCHLAG: passend zu /api/admin/waitlist/:id/invite (§6.7)
legeAn	createUser	export-funktion	src/admin/api.ts	6	Route ist /api/admin/users, deshalb User statt Account
leseProfilCache	readProfileCache	export-funktion	src/session-hinweis.ts	6	VORSCHLAG: wie Trio; Profil-Cache lesen
letzterAnkunftsSatz	lastArrivalSentence	export-funktion	src/konto/trackermodell.ts	6	VORSCHLAG: Satz zur letzten angekommenen Tour
loesche	deleteUser	export-funktion	src/admin/api.ts	6	Konto loeschen
loeschenGesperrt	deleteDisabled	export-funktion	src/admin/adminmodell.ts	6	VORSCHLAG: gesperrt→disabled; Loeschen eines Kontos
loescheRueckmeldung	deleteFeedback	export-funktion	src/admin/api.ts	6	Rueckmeldung loeschen
loescheWartenden	deleteWaitlistEntry	export-funktion	src/admin/api.ts	6	VORSCHLAG: Wartender→waitlist entry
loeseTrackerRueckkehrEin	redeemTrackerReturn	export-funktion	src/konto/trackerkarte.ts	6	VORSCHLAG: einloesen→redeem (wie redeemed_by §6.8)
mailvorlagen	loadMailTemplates	export-funktion	src/admin/api.ts	6	hole→load
merkeAngemeldet	rememberSignedIn	export-funktion	src/session-hinweis.ts	6	VORSCHLAG: angemeldet→signedIn (login ist der API-Pfad); Hinweis-Cookie setzen
merkeProfilCache	rememberProfileCache	export-funktion	src/session-hinweis.ts	6	VORSCHLAG: merke→remember, vergesse→forget, lese→read als Trio; Profildaten lokal merken
monat	formatMonth	export-funktion	src/galerie/galeriemodell.ts	6	VORSCHLAG: verb-first; Monatsangabe einer Tour
montiereAppHeader	mountAppHeader	export-funktion	src/app-nav.ts	6	Kopfleiste montieren und verdrahten
montiereBearbeiten	mountEditProfile	export-funktion	src/profil/profilbearbeiten.ts	6	VORSCHLAG: montiere→mount (ueberall gleich); Datei wird edit-profile.ts (§6.6); Bearbeiten-Modal fuer den Besitzer
montiereFeedbackFormular	mountFeedbackForm	export-funktion	src/feedbackformular.ts	6	§6.6 feedback-form.ts
montiereFeedbackKnopf	mountFeedbackButton	export-funktion	src/feedbackknopf.ts	6	montiere→mount
montiereGliederung	mountOutline	export-funktion	src/rechtstextgliederung.ts	6	VORSCHLAG: montiere→mount; outline nach Dateiziel legal-text-outline.ts (§6.6); Sprungnavigation montieren
montiereNavRechts	mountNavRight	export-funktion	src/app-nav.ts	6	Konto-Menue rechts nach /auth/me
montiereStandChip	mountStageChip	export-funktion	src/entwicklungsstand.ts	6	VORSCHLAG: montiere→mount wie app-nav
oeffneExportDialog	openDataExportDialog	export-funktion	src/konto/kontodialoge.ts	6	§6.1 dataExport (Art. 20 DSGVO), nicht filmExport
oeffneFeedback	openFeedback	export-funktion	src/feedbackknopf.ts	6	oeffne→open
oeffneLoeschDialog	openDeleteAccountDialog	export-funktion	src/konto/kontodialoge.ts	6	VORSCHLAG: sagt welches Loeschen gemeint ist
oeffneMailDialog	openEmailDialog	export-funktion	src/konto/kontodialoge.ts	6	Dialog fuer den E-Mail-Wechsel
oeffnePasswortDialog	openPasswordDialog	export-funktion	src/konto/kontodialoge.ts	6	Dialog fuer den Passwortwechsel
oeffneSchicht	openDialogLayer	export-funktion	src/dialogschicht.ts	6	VORSCHLAG: Datei wird dialog-layer.ts (§6.6), Schicht allein waere mehrdeutig
pfad	path	export-funktion	src/routen.ts	6	VORSCHLAG: path (Aufrufform path('gallery')); Link auf eine Seite bauen
profilAdresse	profileAddress	export-funktion	src/profil/profilmodell.ts	6	VORSCHLAG: address (profilePath ist in routen.ts vergeben); kanonische /@handle-Adresse
profilKopf	profileHeading	export-funktion	src/profil/profilmodell.ts	6	VORSCHLAG: heading (header ist beim Profil-Titelbild verboten, §6.1); Kopfzeile Name oder Handle
profilLink	profileLink	export-funktion	src/galerie/galeriemodell.ts	6	§6.2 profile
profilPfad	profilePath	export-funktion	src/routen.ts	6	profile+path; baut /@handle selbst (encodeURIComponent-Falle)
